package,assertion_tested,exact_match,top_10,all_method_suggested
org.apache.commons.lang3.builder,965,354,894,901
org.apache.commons.lang3.test,0,0,0,0
org.apache.commons.lang3,6027,5511,5962,5962
org.apache.commons.lang3.exception,114,66,114,114
org.apache.commons.lang3.text,1196,781,1157,1166
org.apache.commons.lang3.text.translate,5,0,0,0
org.apache.commons.lang3.reflect,307,233,306,307
org.apache.commons.lang3.event,11,0,11,11
org.apache.commons.lang3.tuple,145,63,82,82
org.apache.commons.lang3.mutable,437,422,427,427
org.apache.commons.lang3.math,636,460,636,636
total:,9843,7890,9589,9606
